ECON INL FW PRESS;DRUM PRESS;MN STM PRESS;CRH STM PRESS;HRH STM PRESS;COND VAC WIDE;ECON INL FW TEMP;MN STM TEMP;CRH STM TEMP;HRH STM TEMP;COND INL CW TEMP;COND  OUTL CW TEMP;AHTR PA OUT TEMP ;AHTR OUTL SECA TEMP ;AHTR OUT FG TEMP ;AHTR B OUT FG TEMP 4;PULV  INL PA TEMP;PULV  OUTL COAL/AIR TEMP;MAIN SPRY WTR FLOW;MN STM FLOW;RHR ATM SPRY WTR FLOW;TOT AIR FLOW FD FAN;TOTAL PA Flow;TOT COAL FLOW;GEN OUT MW;FGD SYS INLET NOX;FGD SYS INLET SOX;FGD SYS OUTLET SOX;A/H Outlet O2;Eff Thermal
190.835;186.157;168.313;38.019;36.055;-0.916;287.955;540.887;335.488;534.791;30.000;38.000;345.500;352.107;158.750;154.250;279.052;70.688;173.890;2144.829;4.862;2169.508;506.338;305.668;712.390;639.587;1808.570;601.054;2.787;35.678
190.840;186.162;168.313;38.099;36.086;-0.916;287.996;539.662;334.932;534.487;30.000;38.000;345.500;352.297;158.750;154.250;278.704;70.688;171.547;2147.525;4.818;2170.761;508.823;306.001;711.521;639.587;1807.374;601.054;2.825;35.665
190.840;186.162;168.313;38.117;36.086;-0.916;288.088;538.516;334.375;534.053;30.000;38.000;345.259;351.876;158.877;154.250;279.162;70.688;169.293;2147.525;5.003;2170.900;510.271;305.954;711.558;639.587;1807.374;601.054;2.647;35.681
190.855;186.202;168.313;38.117;36.086;-0.916;288.088;538.839;334.375;533.985;30.000;38.000;345.250;351.859;158.750;154.250;279.727;70.688;172.105;2147.750;5.067;2172.118;509.797;306.042;711.179;640.397;1809.030;595.661;2.664;35.684
191.203;186.455;168.345;38.117;36.169;-0.916;288.088;539.000;334.375;533.953;30.000;38.000;345.250;351.859;158.589;154.250;279.666;70.710;172.166;2150.942;4.960;2172.745;510.353;305.818;710.910;642.265;1817.082;601.261;2.713;35.743
191.211;186.455;168.416;38.117;36.171;-0.916;288.088;538.572;334.375;533.895;30.000;38.000;345.250;351.702;158.542;154.250;279.263;70.762;170.987;2151.038;4.975;2171.406;509.104;305.770;710.311;641.320;1826.966;613.610;2.720;35.762
191.017;186.237;168.157;38.213;36.171;-0.916;288.150;538.438;333.898;533.698;30.000;38.000;345.411;351.438;158.500;154.250;279.144;70.762;168.858;2150.563;4.942;2171.592;509.136;305.790;710.571;636.996;1828.639;614.005;2.663;35.716
190.918;186.184;168.106;38.216;36.171;-0.916;288.216;538.203;333.906;533.627;30.000;38.000;345.500;351.293;158.500;154.250;279.822;70.762;166.076;2149.428;4.893;2174.063;511.082;305.646;711.303;637.234;1816.086;610.535;2.630;35.734
190.918;186.184;168.106;38.216;36.168;-0.916;288.216;538.664;333.992;533.653;30.000;38.000;345.500;351.094;158.500;154.250;279.996;70.762;167.221;2149.428;4.896;2173.053;510.668;305.623;711.875;640.495;1812.173;608.296;2.645;35.718
190.918;186.128;168.066;38.216;36.150;-0.916;288.216;538.813;334.531;533.683;30.000;38.000;345.150;351.094;158.500;154.250;279.498;70.762;166.930;2149.428;4.901;2173.234;508.604;305.640;711.101;641.680;1820.348;615.471;2.739;35.703
